sitename2,range,column,planter_seed_drop,seedling_emergence_rate,emergence_count,canopy_height,canopy_height_diff,leaf_angle_mean,leaf_angle_mean_slope,leaf_angle_chi,leaf_angle_chi_slope,leaf_angle_beta,leaf_angle_beta_slope,leaf_angle_alpha,leaf_angle_alpha_slope,plant_basal_tiller_number,stem_elongated_internodes_number_slope,canopy_cover,stand_count,stalk_diameter_minor_axis,stalk_diameter_major_axis,leaf_width,leaf_length,leaf_desiccation_present,aboveground_dry_biomass
MAC Field Scanner Season 4 Range 8 Column 8,8,8,73,NA,NA,166,11.083333333333334,0.38941051074849997,-3.106524764560317e-4,2.0406907733575,0.0048372977506274135,1.8174695508108334,-0.019540041174532622,3.09845766901,-0.03708479710587289,NA,NA,NA,22,NA,NA,NA,NA,0,15460
MAC Field Scanner Season 4 Range 8 Column 9,8,9,76,NA,NA,207,11.083333333333334,0.36210054143688886,NA,2.109844320637778,NA,2.343671897166667,NA,4.534309583104444,NA,NA,NA,NA,25,NA,NA,NA,NA,0,34810
MAC Field Scanner Season 4 Range 8 Column 10,8,10,54,0.3765,19,181,4.083333333333333,0.39545367245169233,-3.988661170773612e-4,1.97779182215,0.0030421587141511173,1.9780024793646154,-0.006132849927414005,3.279521581330769,-0.007947407298155568,NA,NA,27.4,17.5,NA,NA,NA,NA,0,7531
MAC Field Scanner Season 4 Range 8 Column 12,8,12,61,NA,NA,174,15.5,0.4215223682297143,NA,1.900032233587143,NA,1.8649587907585714,NA,2.9081403742442857,NA,NA,NA,NA,22.5,NA,NA,NA,NA,0.2,25720
MAC Field Scanner Season 4 Range 9 Column 3,9,3,35.5,NA,NA,126,15.5,0.40253718723909093,7.135690079156656e-4,1.9372739909018182,-0.002640119429067921,2.1109405253154545,-0.005066446124269668,3.5033337538,-0.01664592454453802,3.5,0.23367925098981754,37.95,24.5,8.92,14.36,66.5,786.6666666666666,0,18450
MAC Field Scanner Season 4 Range 9 Column 4,9,4,67,NA,NA,183,11.083333333333334,0.4600853752185625,0.0023336002140037747,1.709069397085,-0.008590895707284451,1.5801448982843749,-0.01288782573411699,1.949412961134375,-0.038345301108105155,NA,NA,NA,25.5,NA,NA,NA,NA,0,27930
MAC Field Scanner Season 4 Range 9 Column 5,9,5,73.5,NA,NA,227,11.083333333333334,0.44779354619538464,0.0012659906600464036,1.8100521176446154,-0.004082677416203219,1.5290466950876922,-0.018749055950309738,2.0616189703784618,-0.0383849151701888,NA,NA,NA,29,NA,NA,NA,NA,0,19620
MAC Field Scanner Season 4 Range 9 Column 7,9,7,70.5,NA,NA,149,11.083333333333334,0.3618403377110909,-0.0022371102666956526,2.1967048660927273,0.009150787853321888,1.9274293023663636,-0.0017730737174891987,3.7828140542454545,0.02165161327450389,NA,NA,NA,26.5,NA,NA,NA,NA,0,24140
MAC Field Scanner Season 4 Range 9 Column 11,9,11,68,NA,NA,188,11.083333333333334,0.41821126252266666,-0.0019322399323825428,1.9222428003883334,0.010519809512591828,1.6739441544208333,-0.0037183563614130387,2.5020454716358334,0.01633972053068175,NA,NA,NA,23,NA,NA,NA,NA,0,47210
MAC Field Scanner Season 4 Range 9 Column 12,9,12,63.5,NA,NA,184,15.5,0.38047311696516667,0.0016029523684738878,2.102165138155,-0.006970699323189269,1.8824747699416666,-0.010471022966993015,3.448797992528333,-0.03867543085860169,NA,NA,NA,23.5,NA,NA,NA,NA,0,23260
MAC Field Scanner Season 4 Range 9 Column 13,9,13,58,NA,NA,221,11.083333333333334,0.385600704648125,2.0980695205267627e-4,2.0563962321775,0.0015647885425242574,2.0090647712275,-0.011793479987398933,3.66444221836,-0.021703922773198915,NA,NA,NA,25,NA,NA,NA,NA,0,35060
MAC Field Scanner Season 4 Range 9 Column 14,9,14,69,NA,NA,71,11.083333333333334,0.37491244615815383,-6.461553675663512e-4,2.0712472225907694,0.004198105499062329,2.0985834925015383,-0.0019463122671564313,3.825773034296923,0.004995575300353074,NA,NA,NA,24.5,NA,NA,NA,NA,0,12080
MAC Field Scanner Season 4 Range 9 Column 15,9,15,86,NA,NA,143,11.083333333333334,0.38543004445621426,0.0012628408616788011,2.0452245266364284,-0.0034363862366568374,2.0002917810278573,-0.012606807091336368,3.5558838677571427,-0.03779198627868256,NA,NA,NA,24.5,NA,NA,NA,NA,0,23020
MAC Field Scanner Season 4 Range 10 Column 2,10,2,73,NA,NA,203,11.083333333333334,0.3879367447208,NA,2.067678004924,NA,1.989054921827,NA,3.738004626553,NA,NA,NA,NA,24.5,NA,NA,NA,NA,0,33010
MAC Field Scanner Season 4 Range 10 Column 5,10,5,72.5,NA,NA,193,11.083333333333334,0.43265229515123077,0.0031502468478162627,1.8652359977007693,-0.009292011162163626,1.6458859865992308,-0.029505010396018265,2.398764796176154,-0.0746529616119932,NA,NA,NA,23,NA,NA,NA,NA,0,43730
MAC Field Scanner Season 4 Range 10 Column 6,10,6,62.5,NA,NA,203,11.083333333333334,0.416382230501,0.0025017115177694824,1.8904248102554546,-0.008618361588216302,2.0781919737854544,-0.010381414928911549,3.317602557540909,-0.03915623152384814,NA,NA,NA,25,NA,NA,NA,NA,0,24430
MAC Field Scanner Season 4 Range 10 Column 9,10,9,78.5,NA,NA,176,11.083333333333334,0.3594101314523,NA,2.1890243757539998,NA,1.9835725778439999,NA,3.901874534823,NA,NA,NA,NA,24,NA,NA,NA,NA,0.4,35050
MAC Field Scanner Season 4 Range 10 Column 10,10,10,65.5,NA,NA,156,15.5,0.3667340592620714,0.002350048249309067,2.0944515069621428,-0.008173037346531164,2.2070701955864287,-0.011084487659682186,4.180682235918572,-0.051020118266694295,NA,NA,NA,24.5,NA,NA,NA,NA,0,24040
MAC Field Scanner Season 4 Range 10 Column 12,10,12,78,NA,NA,127,4.083333333333333,0.3519635985896154,8.741370421340098e-4,2.1657390078707692,-3.2481038964709283e-4,2.2563925495846155,-0.014629162803686719,4.502568727,-0.037752260818272564,NA,NA,25.5,25,NA,NA,NA,NA,0,12180
MAC Field Scanner Season 4 Range 10 Column 15,10,15,74.5,NA,NA,219,11.083333333333334,0.4027096732428462,-0.002867829964223575,1.9612531668353845,0.014603298674007174,1.8934433544184615,0.0064985580286567556,3.1024031608284615,0.04582590139247518,NA,NA,NA,23,NA,NA,NA,NA,0,16480
MAC Field Scanner Season 4 Range 11 Column 2,11,2,67.5,NA,NA,140,11.083333333333334,0.39384551834364284,-0.001685492073647076,2.0523621570585715,0.010854421630776637,1.9449694852164285,-0.006632831957667204,3.5464744339464285,0.013077876875624174,NA,NA,NA,27,NA,NA,NA,NA,0,18200
MAC Field Scanner Season 4 Range 11 Column 3,11,3,6,NA,NA,154,15.5,0.42597734171733337,0.0020568382972116234,1.8922299552625002,-0.006563073335355932,1.7424287315641667,-0.012565868189269282,2.7105516916683334,-0.04029339546863819,NA,NA,NA,24,NA,NA,NA,NA,0,8921
MAC Field Scanner Season 4 Range 11 Column 4,11,4,67,NA,NA,190,4.083333333333333,0.39077471756116666,-8.722865538278859e-4,2.0700971234233334,0.006566238344584223,1.90723729775,-0.0034303263624316078,3.4692755971858333,0.01600245107639144,NA,NA,34.9,27.5,NA,NA,NA,NA,0,18790
MAC Field Scanner Season 4 Range 11 Column 5,11,5,66.5,NA,NA,195,11.083333333333334,0.4243247912828182,-8.498348082650693e-5,1.8977573813581818,0.0038348702876310034,1.6399715290690908,-0.0053445286225725095,2.3937444183563636,-0.01810653129436345,NA,NA,NA,23.5,NA,NA,NA,NA,0,26280
MAC Field Scanner Season 4 Range 11 Column 6,11,6,66.5,NA,NA,121,4.083333333333333,0.36749677347091664,-8.268021841541391e-4,2.1687313817450002,0.004336323042750426,2.0299433725241665,-0.0028910681030741834,4.000305768214167,0.0025656476266779442,NA,NA,21.6,24.5,NA,NA,NA,NA,0,11630
MAC Field Scanner Season 4 Range 11 Column 9,11,9,74,NA,NA,146,11.083333333333334,0.4045526753402,4.898289010103528e-4,2.0160891981166666,0.001541233813176015,1.8657149879753334,-0.01737090040541873,3.2465707328226667,-0.02902575548491575,NA,NA,NA,26.5,NA,NA,NA,NA,0,22080
MAC Field Scanner Season 4 Range 11 Column 11,11,11,62.5,NA,NA,93,11.083333333333334,0.3817061400380769,-9.536319162344965e-4,2.0951920042646153,0.005574040730493843,1.8901267883153845,-0.007907182899208264,3.4421724300953844,0.010560603716318619,NA,NA,NA,30,NA,NA,NA,NA,0,11030
MAC Field Scanner Season 4 Range 11 Column 14,11,14,73.5,NA,NA,174,15.5,0.43835396424428574,0.0027466072235760946,1.8770683512092856,-0.0071535041258227435,1.5762619281178571,-0.03136918126811375,2.3278003026428573,-0.0754210169977873,NA,NA,NA,26.5,NA,NA,NA,NA,0,7179
MAC Field Scanner Season 4 Range 11 Column 15,11,15,81.5,NA,NA,197,15.5,0.4050882909418462,-3.7067166578340263e-4,1.9802389592669232,0.0048203628161171495,2.0004874172484617,-0.008356202523587769,3.450847875233077,-0.0036603580845239138,NA,NA,NA,29.5,NA,NA,NA,NA,0,23100
MAC Field Scanner Season 4 Range 12 Column 2,12,2,57.5,NA,NA,135,24.5,0.391066415404,-0.0015961601971621671,2.080685124959286,0.012453047939984963,2.005128757875714,-0.008594904469521802,3.774719971715,0.015489539746159558,NA,NA,NA,26,NA,NA,NA,NA,0,2252
MAC Field Scanner Season 4 Range 12 Column 3,12,3,53,NA,NA,188,15.5,0.454652651216,NA,1.7549141062433333,NA,1.7927285858966666,NA,2.2789308239133335,NA,NA,NA,NA,22,NA,NA,NA,NA,0,37320
MAC Field Scanner Season 4 Range 12 Column 7,12,7,61,NA,NA,219,11.083333333333334,0.451484678936375,NA,1.82415193659375,NA,1.44326554507875,NA,1.859858386227625,NA,NA,NA,34,25,NA,NA,NA,NA,0,14250
